Game_Name, Game_Tag,Rank, Price
Hello From Darkness,Early Access  Horror  Hidden Object  Survival Horror,380,1
Get Ogre It,Roguelike  Souls-like  Pixel Graphics  Mystery Dungeon,381,9.96
Khimera: Puzzle Island,Indie  Casual  Adventure  Puzzle,382,9
Ninja Hanrei,Action  Platformer  2D Platformer  Precision Platformer,383,0
Cyberpunk SFX,Early Access  Adventure  Cyberpunk  Action,384,9
Office Simulator,Casual  Strategy  Building  Simulation,385,0.73
Miner: Dig Deep,Mining  Sandbox  Platformer  2D Platformer,386,7.5
*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),Casual  Action  Simulation  Platformer,387,0
LAST EMBRYO -EITHER OF BRAVE TO STORY-,Adventure  RPG  JRPG  Sexual Content,388,10.4
DreamWatcher,Metroidvania  3D Platformer  Puzzle Platformer  Controller,389,0
Tainted Grail: Conquest,Early Access  Dark Fantasy  Story Rich  Deckbuilding,390,18.5
Legend Bowl,Sports  Indie  Early Access  Football,391,18.5
StoneTide: Age of Pirates,Naval Combat  Indie  Action  Adventure,392,10
Roscosmas Landing,Side Scroller  Casual  Precision Platformer  Flight,393,1.1
Demon Turf: Trials,Adventure  Action  Arcade  Platformer,394,0
Don Flatus: Poop Hunter,0  Early Access  Casual  Indie,395,0
Letter Vetter,Indie  Hand-drawn  Mystery  Story Rich,396,9
From the Shadows,Adventure  Casual  Puzzle  Exploration,397,0
THE MONSTER OF MEMORY:DESTINY,Visual Novel  Dating Sim  LGBTQ+  Casual,398,18.99
Warp Drive,Racing  Arcade  Stylized  Colorful,399,13
The Unexpected Quest,Strategy  Simulation  Adventure  Indie,400,13
Dome Discover,Singleplayer  Anime  RPG  JRPG,401,0
Duck Life,Casual  Racing  RPG  Sports,402,2.15
Mouse Painting Master,Casual  Simulation  RPG  Dating Sim,403,4.25
NEKOPARA Vol. 4,Anime  Sexual Content  Visual Novel  Shooter,404,10
Let's Cook Together,Co-op Campaign  Family Friendly  Local Co-Op  Conversation,405,18.5
RedEx,Action  Arcade  Platformer  2D Platformer,406,5.25
DOOR:Inner Child,Early Access  3D Platformer  Puzzle Platformer  Roguelite,407,14.5
Winter Resort Simulator Season 2,Simulation  Indie  Casual  Realistic,408,31.7
Corners,Strategy  Indie  Casual  Sports,409,3.25
Drift Long Racing,Racing  Immersive Sim  Automobile Sim  Physics,410,0.66
Poop On 2020 Simulator,Immersive Sim  Funny  Relaxing  Physics,411,2.15
HIVESWAP: ACT 2,Adventure  Visual Novel  Point & Click  RPG,412,14.5
Sky Haven,Simulation  Strategy  Early Access  Management,413,22
Night Reverie: Prologue,0  Casual  Exploration  2D,414,0
Drive 21,Simulation  Open World  Automobile Sim  Immersive Sim,415,10.87
Bob Help Them,Casual  Strategy  Management  Pixel Graphics,416,4.55
The Change Architect,Choose Your Own Adventure  Interactive Fiction  Adventure  Visual Novel,417,0
Children of Silentown: Prologue,Horror  Point & Click  Female Protagonist  2D,418,0
Is It Wrong to Try to Shoot 'em Up Girls in a Dungeon?,0  Side Scroller  Shoot 'Em Up  2D Platformer,419,0
The Floor Is Still Really Cheap Lava,Runner  Heist  Casual  Racing,420,0
GraviFire,Puzzle  Strategy  Logic  Puzzle Platformer,421,3.4
Diary of Lucie,Action Roguelike  Roguelite  RPGMaker  Mystery,422,10
Amazing Cultivation Simulator,Simulation  RPG  Strategy  Indie,423,19.8
TWWWR,Adventure  Pixel Graphics  Colorful  Top-Down,424,4.25
Loop,Casual  Walking Simulator  3D  Adventure,425,1.1
Ball at Work: The Ultimate Speedrun Platformer!,Puzzle Platformer  Precision Platformer  Platformer  Puzzle,426,0
Corridor: Amount of Fear,Horror  Investigation  Exploration  Detective,427,0.85
SUPERCHICOS,Adventure  Experimental  Action-Adventure  3D,428,0
MegaRamp,Strategy  Puzzle  Logic  Minimalist,429,1.1
Retrowave Drift,Racing  Immersive Sim  Automobile Sim  Physics,430,0.66
Haydee 2,Sexual Content  Puzzle  Action  Exploration,431,22
Football Manager 2021,Sports  Simulation  Management  Singleplayer,432,59
Hoppup!,Pixel Graphics  Precision Platformer  Indie  Adventure,433,3.25
Pombero - The Lord of the Night,Action  Walking Simulator  Survival Horror  First-Person,434,6.5
StarPrey,Action  Puzzle  Arcade  Experimental,435,3.25
CatMafia,Action  Survival  Shooter  2D Platformer,436,2.15
Gym Tycoon,Simulation  Sports  Modern  3D,437,14.5
Toast Defense,Strategy  Sandbox  Tower Defense  Survival,438,0
SimCasino,Early Access  Casual  Building  Simulation,439,22
The Firelord,Casual  Indie  Platformer  Fantasy,440,1.1
Lighthouse Keeper,Adventure  Experimental  Horror  Survival Horror,441,1.1
Overslept,Indie Survival Horror Stealth Puzzle,442,2.15
